timestep,alt_100km,alt_110km,alt_120km,alt_130km,alt_140km,alt_150km,alt_160km,alt_170km,alt_180km,alt_190km,alt_200km,alt_210km,alt_220km,alt_230km,alt_240km,alt_250km,alt_260km,alt_270km,alt_280km,alt_290km,alt_300km
2800,4.72205e-07,6.97461e-08,1.44879e-08,4.95816e-09,2.38742e-09,1.35048e-09,8.62219e-10,5.84356e-10,4.14911e-10,3.06196e-10,2.35875e-10,1.83208e-10,1.42538e-10,1.14233e-10,9.3187e-11,7.67525e-11,6.379e-11,5.238e-11,4.39138e-11,3.75331e-11,3.14299e-11
2900,4.56491e-07,6.73514e-08,1.39887e-08,4.79006e-09,2.3072e-09,1.3038e-09,8.3228e-10,5.64282e-10,4.00574e-10,2.95544e-10,2.27836e-10,1.76898e-10,1.37635e-10,1.10325e-10,8.99838e-11,7.41582e-11,6.15905e-11,5.05532e-11,4.23967e-11,3.62369e-11,3.03568e-11
3000,4.40755e-07,6.51436e-08,1.35316e-08,4.63138e-09,2.22861e-09,1.25936e-09,8.04172e-10,5.45847e-10,3.87397e-10,2.85604e-10,2.20029e-10,1.70946e-10,1.32994e-10,1.06685e-10,8.70078e-11,7.16483e-11,5.95439e-11,4.88922e-11,4.09873e-11,3.50208e-11,2.93432e-11
3100,4.26026e-07,6.30233e-08,1.30869e-08,4.48048e-09,2.15666e-09,1.21927e-09,7.78752e-10,5.28018e-10,3.75011e-10,2.76485e-10,2.12991e-10,1.65493e-10,1.28735e-10,1.0324e-10,8.42038e-11,6.93569e-11,5.7607e-11,4.7293e-11,3.96781e-11,3.39041e-11,2.83948e-11
3200,4.13996e-07,6.10389e-08,1.26819e-08,4.33841e-09,2.09033e-09,1.181e-09,7.54195e-10,5.11386e-10,3.63334e-10,2.67882e-10,2.06456e-10,1.60289e-10,1.24768e-10,9.99175e-11,8.15592e-11,6.72203e-11,5.58016e-11,4.58346e-11,3.84293e-11,3.28487e-11,2.75046e-11
3300,4.00914e-07,5.91824e-08,1.22984e-08,4.20707e-09,2.02753e-09,1.14556e-09,7.31478e-10,4.95697e-10,3.52174e-10,2.59807e-10,2.00206e-10,1.5546e-10,1.2087e-10,9.69494e-11,7.91168e-11,6.51651e-11,5.41484e-11,4.44471e-11,3.72609e-11,3.18412e-11,2.66785e-11
3400,3.89086e-07,5.74649e-08,1.1928e-08,4.08658e-09,1.96687e-09,1.111e-09,7.10093e-10,4.81399e-10,3.41769e-10,2.52109e-10,1.94233e-10,1.50887e-10,1.17384e-10,9.41395e-11,7.67746e-11,6.32397e-11,5.25477e-11,4.31434e-11,3.61817e-11,3.09182e-11,2.58871e-11
3500,3.77831e-07,5.58158e-08,1.16028e-08,3.96851e-09,1.91095e-09,1.07981e-09,6.89678e-10,4.67605e-10,3.31997e-10,2.44858e-10,1.88727e-10,1.46608e-10,1.14005e-10,9.14088e-11,7.45538e-11,6.1456e-11,5.10311e-11,4.19062e-11,3.51272e-11,3.00368e-11,2.51489e-11
3600,3.67298e-07,5.42592e-08,1.12633e-08,3.85823e-09,1.8579e-09,1.04924e-09,6.70572e-10,4.54693e-10,3.22861e-10,2.38008e-10,1.83486e-10,1.42463e-10,1.10836e-10,8.88837e-11,7.25018e-11,5.97319e-11,4.96201e-11,4.07442e-11,3.41575e-11,2.91978e-11,2.44452e-11
3700,3.57517e-07,5.27948e-08,1.09652e-08,3.7542e-09,1.80745e-09,1.02168e-09,6.52681e-10,4.42052e-10,3.14288e-10,2.31699e-10,1.78493e-10,1.38643e-10,1.07826e-10,8.64517e-11,7.05718e-11,5.80915e-11,4.82911e-11,3.96316e-11,3.32354e-11,2.8402e-11,2.37962e-11
3800,3.47953e-07,5.14126e-08,1.06806e-08,3.65567e-09,1.76026e-09,9.9438e-10,6.34933e-10,4.30599e-10,3.05962e-10,2.25595e-10,1.73871e-10,1.34899e-10,1.05039e-10,8.42035e-11,6.86715e-11,5.65964e-11,4.70165e-11,3.85982e-11,3.2347e-11,2.76604e-11,2.3164e-11
3900,3.39363e-07,5.0086e-08,1.04064e-08,3.55878e-09,1.71462e-09,9.69509e-10,6.19122e-10,4.19772e-10,2.97969e-10,2.19788e-10,1.69395e-10,1.31517e-10,1.02289e-10,8.20287e-11,6.69208e-11,5.51314e-11,4.57946e-11,3.76098e-11,3.15277e-11,2.69596e-11,2.25767e-11
4000,3.30819e-07,4.88719e-08,1.01415e-08,3.47227e-09,1.67186e-09,9.44545e-10,6.03472e-10,4.09069e-10,2.9057e-10,2.14304e-10,1.6509e-10,1.28207e-10,9.97822e-11,8.00101e-11,6.52609e-11,5.37579e-11,4.46547e-11,3.6671e-11,3.07383e-11,2.62715e-11,2.20076e-11
4100,3.22779e-07,4.76646e-08,9.89765e-09,3.38684e-09,1.6313e-09,9.22127e-10,5.88957e-10,3.99491e-10,2.83562e-10,2.0905e-10,1.61112e-10,1.25148e-10,9.73783e-11,7.80294e-11,6.36605e-11,5.24466e-11,4.35784e-11,3.57754e-11,3.00035e-11,2.56326e-11,2.14641e-11
4200,3.15105e-07,4.65254e-08,9.66611e-09,3.30748e-09,1.59294e-09,8.99757e-10,5.74577e-10,3.89608e-10,2.76786e-10,2.04106e-10,1.57315e-10,1.22176e-10,9.5008e-11,7.61968e-11,6.21595e-11,5.12013e-11,4.25415e-11,3.49221e-11,2.92837e-11,2.50327e-11,2.09598e-11
4300,3.07737e-07,4.54489e-08,9.43453e-09,3.22985e-09,1.55522e-09,8.79242e-10,5.61361e-10,3.8059e-10,2.70357e-10,1.99329e-10,1.53535e-10,1.19261e-10,9.27922e-11,7.44302e-11,6.06984e-11,5.00011e-11,4.15431e-11,3.41077e-11,2.85865e-11,2.44417e-11,2.04782e-11
4400,3.00749e-07,4.43992e-08,9.21914e-09,3.15776e-09,1.52001e-09,8.59163e-10,5.48467e-10,3.71848e-10,2.64002e-10,1.94804e-10,1.50138e-10,1.16583e-10,9.06958e-11,7.27623e-11,5.93366e-11,4.88688e-11,4.05918e-11,3.33273e-11,2.79512e-11,2.38854e-11,2.00108e-11
4500,2.93758e-07,4.34638e-08,9.02287e-09,3.08582e-09,1.48652e-09,8.39647e-10,5.36495e-10,3.63651e-10,2.58434e-10,1.90501e-10,1.46789e-10,1.14044e-10,8.87035e-11,7.11179e-11,5.80106e-11,4.77908e-11,3.96929e-11,3.25824e-11,2.73232e-11,2.33558e-11,1.95628e-11
4600,2.87721e-07,4.24609e-08,8.82013e-09,3.01991e-09,1.45475e-09,8.21598e-10,5.24846e-10,3.5583e-10,2.52709e-10,1.86301e-10,1.43602e-10,1.1149e-10,8.67778e-11,6.95543e-11,5.67316e-11,4.67612e-11,3.88482e-11,3.18897e-11,2.67337e-11,2.28484e-11,1.91388e-11
4700,2.81233e-07,4.15814e-08,8.63761e-09,2.95449e-09,1.42253e-09,8.04045e-10,5.13392e-10,3.48352e-10,2.47299e-10,1.824e-10,1.40526e-10,1.09138e-10,8.49033e-11,6.80739e-11,5.55306e-11,4.57544e-11,3.8011e-11,3.11971e-11,2.61691e-11,2.23689e-11,1.8729e-11
4800,2.75666e-07,4.07087e-08,8.45234e-09,2.89604e-09,1.39284e-09,7.87108e-10,5.03089e-10,3.40993e-10,2.42199e-10,1.7857e-10,1.37619e-10,1.06919e-10,8.31444e-11,6.66568e-11,5.43862e-11,4.47943e-11,3.72155e-11,3.05548e-11,2.56199e-11,2.19016e-11,1.83392e-11
4900,2.69941e-07,3.98646e-08,8.28268e-09,2.8345e-09,1.36577e-09,7.71686e-10,4.92816e-10,3.34042e-10,2.37293e-10,1.74975e-10,1.34802e-10,1.04724e-10,8.14552e-11,6.53116e-11,5.32668e-11,4.38611e-11,3.64561e-11,2.99351e-11,2.50904e-11,2.14496e-11,1.7964e-11
5000,2.64716e-07,3.91029e-08,8.11501e-09,2.77667e-09,1.33676e-09,7.56238e-10,4.82645e-10,3.27385e-10,2.3244e-10,1.71342e-10,1.32084e-10,1.02575e-10,7.98128e-11,6.39929e-11,5.22265e-11,4.30045e-11,3.57281e-11,2.93345e-11,2.45911e-11,2.10238e-11,1.76063e-11
