# IRI ion data (2026-06-22T17:00:00 UTC, lat=38.983 lon=-76.850)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.510000e+02 5.300279e+11 6.284217e+02 7.822267e+02 9.149100e+10 1.373760e+11 2.745336e+11 3.411150e+09
1.520000e+02 5.382732e+11 6.327659e+02 7.962755e+02 9.907572e+10 1.374027e+11 2.740006e+11 3.597094e+09
1.530000e+02 5.465436e+11 6.369341e+02 8.103242e+02 1.070814e+11 1.372954e+11 2.732092e+11 3.786833e+09
1.540000e+02 5.548358e+11 6.409335e+02 8.243730e+02 1.155145e+11 1.370522e+11 2.721555e+11 3.980074e+09
1.550000e+02 5.631467e+11 6.447711e+02 8.384217e+02 1.243799e+11 1.366720e+11 2.708364e+11 4.176496e+09
1.560000e+02 5.714729e+11 6.484534e+02 8.524704e+02 1.336812e+11 1.361542e+11 2.692501e+11 4.375751e+09
1.570000e+02 5.798109e+11 6.519867e+02 8.665192e+02 1.434196e+11 1.354990e+11 2.673953e+11 4.577456e+09
1.580000e+02 5.881574e+11 6.553771e+02 8.805678e+02 1.535951e+11 1.347069e+11 2.652727e+11 4.781215e+09
1.590000e+02 5.965085e+11 6.586305e+02 8.946165e+02 1.642050e+11 1.337793e+11 2.628839e+11 4.986597e+09
1.600000e+02 6.048610e+11 6.617523e+02 9.086650e+02 1.752454e+11 1.327180e+11 2.602319e+11 5.193154e+09
1.610000e+02 6.132108e+11 6.647480e+02 9.227136e+02 1.867180e+11 1.315263e+11 2.573128e+11 5.400153e+09
1.620000e+02 6.215543e+11 6.676228e+02 9.367620e+02 1.985971e+11 1.302053e+11 2.541490e+11 5.607622e+09
1.630000e+02 6.298876e+11 6.703814e+02 9.508104e+02 2.108805e+11 1.287597e+11 2.507392e+11 5.814798e+09
1.640000e+02 6.382069e+11 6.730287e+02 9.648586e+02 2.235553e+11 1.271936e+11 2.470919e+11 6.021171e+09
1.650000e+02 6.465079e+11 6.755692e+02 9.789067e+02 2.364386e+11 1.254240e+11 2.434522e+11 6.223827e+09
1.660000e+02 6.547868e+11 6.780071e+02 9.929547e+02 2.498526e+11 1.236379e+11 2.393489e+11 6.427257e+09
1.670000e+02 6.630396e+11 6.803467e+02 1.007003e+03 2.636067e+11 1.217467e+11 2.350412e+11 6.628307e+09
1.680000e+02 6.712617e+11 6.825920e+02 1.021050e+03 2.776794e+11 1.197563e+11 2.305424e+11 6.826452e+09
1.690000e+02 6.794494e+11 6.847468e+02 1.035097e+03 2.920484e+11 1.176735e+11 2.258668e+11 7.021189e+09
1.700000e+02 6.875980e+11 6.868148e+02 1.049144e+03 3.066890e+11 1.155048e+11 2.210295e+11 7.212021e+09
1.710000e+02 6.957035e+11 6.887994e+02 1.063191e+03 3.215756e+11 1.132576e+11 2.160460e+11 7.398470e+09
1.720000e+02 7.037614e+11 6.907041e+02 1.077237e+03 3.366813e+11 1.109391e+11 2.109326e+11 7.580076e+09
1.730000e+02 7.117672e+11 6.925322e+02 1.091282e+03 3.519781e+11 1.085568e+11 2.057059e+11 7.756409e+09
1.740000e+02 7.197165e+11 6.942866e+02 1.105327e+03 3.674372e+11 1.061185e+11 2.003829e+11 7.927059e+09
1.750000e+02 7.276049e+11 6.959705e+02 1.119370e+03 3.830295e+11 1.036317e+11 1.949805e+11 8.091656e+09
1.760000e+02 7.354278e+11 6.975867e+02 1.133412e+03 3.987250e+11 1.011044e+11 1.895156e+11 8.249859e+09
1.770000e+02 7.431807e+11 6.991378e+02 1.147453e+03 4.144939e+11 9.854405e+10 1.840051e+11 8.401355e+09
1.780000e+02 7.508591e+11 7.006266e+02 1.161493e+03 4.303063e+11 9.595834e+10 1.784656e+11 8.545883e+09
1.790000e+02 7.584582e+11 7.020556e+02 1.175530e+03 4.461332e+11 9.335452e+10 1.729128e+11 8.683194e+09
1.800000e+02 7.659734e+11 7.034271e+02 1.189564e+03 4.619447e+11 9.073990e+10 1.673624e+11 8.813096e+09
1.810000e+02 7.734002e+11 7.047437e+02 1.203596e+03 4.776521e+11 8.820482e+10 1.618124e+11 8.934499e+09
1.820000e+02 7.807340e+11 7.060073e+02 1.217623e+03 4.934364e+11 8.547039e+10 1.563341e+11 9.050478e+09
1.830000e+02 7.879699e+11 7.072202e+02 1.231646e+03 5.091202e+11 8.275205e+10 1.508968e+11 9.158564e+09
1.840000e+02 7.951036e+11 7.083843e+02 1.245663e+03 5.246777e+11 8.005563e+10 1.455131e+11 9.258717e+09
1.850000e+02 8.021301e+11 7.095019e+02 1.259673e+03 5.400841e+11 7.738678e+10 1.401948e+11 9.350912e+09
1.860000e+02 8.090451e+11 7.105746e+02 1.273674e+03 5.553157e+11 7.475059e+10 1.349528e+11 9.435168e+09
1.870000e+02 8.158436e+11 7.116043e+02 1.287666e+03 5.703497e+11 7.215181e+10 1.297973e+11 9.511538e+09
