# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
8.978000e+01 1.879884e+02 3.356471e-06 1.811221e-01 1.358531e-03 7.850386e+03 6.978420e+19 5.444147e+19 1.448920e+19 4.303387e+17 4.376720e+14 6.433243e+17 nan
9.024000e+01 1.872481e+02 3.108221e-06 1.670656e-01 1.253098e-03 7.850107e+03 6.462285e+19 5.040478e+19 1.339420e+19 4.667905e+17 4.125899e+14 5.941983e+17 nan
9.070000e+01 1.865180e+02 2.877630e-06 1.540683e-01 1.155610e-03 7.849828e+03 5.982865e+19 4.665544e+19 1.237591e+19 5.027382e+17 3.893086e+14 5.485199e+17 nan
9.116000e+01 1.858053e+02 2.663386e-06 1.420528e-01 1.065486e-03 7.849549e+03 5.537432e+19 4.317221e+19 1.142877e+19 5.377581e+17 3.676752e+14 5.060583e+17 nan
9.162000e+01 1.851169e+02 2.464324e-06 1.309488e-01 9.821992e-04 7.849270e+03 5.123562e+19 3.993614e+19 1.054789e+19 5.714368e+17 3.475545e+14 4.665923e+17 2.533923e+11
9.208000e+01 1.844599e+02 2.279366e-06 1.206906e-01 9.052565e-04 7.848991e+03 4.739017e+19 3.692969e+19 9.728821e+18 6.033782e+17 3.288222e+14 4.299222e+17 2.762414e+11
9.254000e+01 1.838408e+02 2.107508e-06 1.112164e-01 8.341935e-04 7.848712e+03 4.381709e+19 3.413658e+19 8.967305e+18 6.332193e+17 3.113622e+14 3.958685e+17 3.001489e+11
9.300000e+01 1.832660e+02 1.947848e-06 1.024695e-01 7.685864e-04 7.848433e+03 4.049761e+19 3.154215e+19 8.259584e+18 6.606223e+17 2.950741e+14 3.642544e+17 3.250803e+11
9.346000e+01 1.827420e+02 1.799555e-06 9.439760e-02 7.080421e-04 7.848154e+03 3.741445e+19 2.913298e+19 7.602111e+18 6.852965e+17 2.798693e+14 3.349244e+17 3.510013e+11
9.392000e+01 1.822749e+02 1.661842e-06 8.695096e-02 6.521876e-04 7.847875e+03 3.455128e+19 2.689624e+19 6.991642e+18 7.069875e+17 2.656609e+14 3.077308e+17 3.778707e+11
9.438000e+01 1.818705e+02 1.533990e-06 8.008336e-02 6.006762e-04 7.847596e+03 3.189310e+19 2.482039e+19 6.424987e+18 7.254874e+17 2.523736e+14 2.825334e+17 4.056534e+11
9.484000e+01 1.815318e+02 1.415346e-06 7.375182e-02 5.531856e-04 7.847317e+03 2.942638e+19 2.289526e+19 5.899041e+18 7.407187e+17 2.399452e+14 2.591551e+17 4.343785e+11
9.530000e+01 1.812614e+02 1.305260e-06 6.791411e-02 5.093990e-04 7.847038e+03 2.713759e+19 2.110995e+19 5.411235e+18 7.528650e+17 2.283125e+14 2.374395e+17 4.642179e+11
9.576000e+01 1.810621e+02 1.203156e-06 6.253269e-02 4.690350e-04 7.846760e+03 2.501475e+19 1.945477e+19 4.959294e+18 7.619207e+17 2.174192e+14 2.172994e+17 4.952186e+11
9.622000e+01 1.809368e+02 1.108518e-06 5.757412e-02 4.318425e-04 7.846481e+03 2.304714e+19 1.792131e+19 4.540993e+18 7.678891e+17 2.072165e+14 1.986470e+17 5.274158e+11
9.668000e+01 1.808886e+02 1.020863e-06 5.300733e-02 3.975888e-04 7.846202e+03 2.122470e+19 1.650163e+19 4.154256e+18 7.708178e+17 1.976564e+14 1.813980e+17 5.608585e+11
9.714000e+01 1.809205e+02 9.397208e-07 4.880274e-02 3.660517e-04 7.845923e+03 1.953768e+19 1.518802e+19 3.797075e+18 7.707875e+17 1.886933e+14 1.654685e+17 5.956072e+11
9.760000e+01 1.810362e+02 8.646606e-07 4.493334e-02 3.370287e-04 7.845645e+03 1.797711e+19 1.397343e+19 3.467545e+18 7.679068e+17 1.802857e+14 1.507806e+17 6.317136e+11
9.806000e+01 1.812392e+02 7.952758e-07 4.137400e-02 3.103314e-04 7.845366e+03 1.653454e+19 1.285120e+19 3.163857e+18 7.623385e+17 1.723952e+14 1.372560e+17 6.692598e+11
9.852000e+01 1.815336e+02 7.311708e-07 3.810073e-02 2.857798e-04 7.845087e+03 1.520173e+19 1.181479e+19 2.884294e+18 7.542726e+17 1.649875e+14 1.248194e+17 7.083236e+11
9.898000e+01 1.819235e+02 6.719881e-07 3.509198e-02 2.632122e-04 7.844809e+03 1.397127e+19 1.085836e+19 2.627217e+18 7.439383e+17 1.580276e+14 1.133997e+17 7.489999e+11
9.944000e+01 1.824135e+02 6.173835e-07 3.232732e-02 2.424755e-04 7.844530e+03 1.283599e+19 9.976201e+18 2.391103e+18 7.315832e+17 1.514856e+14 1.029279e+17 7.913802e+11
9.990000e+01 1.830088e+02 5.670333e-07 2.978778e-02 2.234273e-04 7.844252e+03 1.178916e+19 9.163024e+18 2.174442e+18 7.174738e+17 1.453314e+14 9.333835e+16 8.355704e+11
1.003600e+02 1.837148e+02 5.206365e-07 2.745593e-02 2.059370e-04 7.843973e+03 1.082452e+19 8.413846e+18 1.975874e+18 7.018803e+17 1.395389e+14 8.456796e+16 8.816862e+11
1.008200e+02 1.845373e+02 4.779080e-07 2.531547e-02 1.898822e-04 7.843695e+03 9.936159e+18 7.723981e+18 1.794078e+18 6.850720e+17 1.340806e+14 7.655683e+16 9.298383e+11
1.012800e+02 1.854831e+02 4.385858e-07 2.335159e-02 1.751518e-04 7.843416e+03 9.118613e+18 7.089138e+18 1.627815e+18 6.673157e+17 1.289357e+14 6.924911e+16 9.801660e+11
1.017400e+02 1.865593e+02 4.024143e-07 2.155003e-02 1.616389e-04 7.843138e+03 8.366574e+18 6.505096e+18 1.475922e+18 6.488416e+17 1.240806e+14 6.259081e+16 1.032788e+12
1.022000e+02 1.877739e+02 3.691605e-07 1.989793e-02 1.492471e-04 7.842860e+03 7.675195e+18 5.968065e+18 1.337291e+18 6.298581e+17 1.194939e+14 5.653118e+16 1.087839e+12
1.026600e+02 1.891356e+02 3.386074e-07 1.838347e-02 1.378877e-04 7.842581e+03 7.039969e+18 5.474510e+18 1.210899e+18 6.105486e+17 1.151565e+14 5.102313e+16 1.145452e+12
1.031200e+02 1.906543e+02 3.105468e-07 1.699539e-02 1.274763e-04 7.842303e+03 6.456560e+18 5.021039e+18 1.095779e+18 5.910635e+17 1.110497e+14 4.602185e+16 1.205760e+12
1.035800e+02 1.923408e+02 2.847873e-07 1.572352e-02 1.179364e-04 7.842025e+03 5.920998e+18 4.604565e+18 9.910247e+17 5.715279e+17 1.071563e+14 4.148543e+16 1.268893e+12
1.040400e+02 1.942072e+02 2.611488e-07 1.455831e-02 1.091966e-04 7.841746e+03 5.429531e+18 4.222206e+18 8.958135e+17 5.519244e+17 1.034591e+14 3.738067e+16 1.334736e+12
1.045000e+02 1.962666e+02 2.394620e-07 1.349089e-02 1.011902e-04 7.841468e+03 4.978642e+18 3.871247e+18 8.093768e+17 5.322644e+17 9.994297e+13 3.367361e+16 1.403052e+12
1.049600e+02 1.985254e+02 2.195807e-07 1.251318e-02 9.385686e-05 7.841190e+03 4.565291e+18 3.549343e+18 7.310024e+17 5.126596e+17 9.659653e+13 3.032901e+16 1.473934e+12
1.054200e+02 2.009852e+02 2.013711e-07 1.161766e-02 8.713986e-05 7.840912e+03 4.186695e+18 3.254352e+18 6.600327e+17 4.932192e+17 9.341299e+13 2.731502e+16 1.547521e+12
1.058800e+02 2.036473e+02 1.847069e-07 1.079741e-02 8.098744e-05 7.840634e+03 3.840232e+18 2.984272e+18 5.958386e+17 4.740322e+17 9.038421e+13 2.460118e+16 1.623958e+12
1.063400e+02 2.065139e+02 1.694660e-07 1.004591e-02 7.535073e-05 7.840356e+03 3.523358e+18 2.737141e+18 5.378351e+17 4.551717e+17 8.750246e+13 2.215977e+16 1.703392e+12
1.068000e+02 2.095869e+02 1.555346e-07 9.357258e-03 7.018539e-05 7.840077e+03 3.233711e+18 2.511147e+18 4.854729e+17 4.366952e+17 8.476047e+13 1.996484e+16 1.785960e+12
1.072600e+02 2.128688e+02 1.428067e-07 8.726055e-03 6.545097e-05 7.839799e+03 2.969085e+18 2.304595e+18 4.382419e+17 4.186587e+17 8.212319e+13 1.799268e+16 1.871823e+12
1.077200e+02 2.163619e+02 1.311811e-07 8.147220e-03 6.110934e-05 7.839521e+03 2.727378e+18 2.115858e+18 3.956713e+17 4.010982e+17 7.955712e+13 1.622153e+16 1.961117e+12
1.081800e+02 2.200688e+02 1.205658e-07 7.616230e-03 5.712658e-05 7.839243e+03 2.506676e+18 1.943471e+18 3.573184e+17 3.840508e+17 7.706300e+13 1.463134e+16 2.054008e+12
1.086400e+02 2.239918e+02 1.108743e-07 7.128868e-03 5.347106e-05 7.838965e+03 2.305181e+18 1.786044e+18 3.227845e+17 3.675364e+17 7.464051e+13 1.320406e+16 2.150649e+12
1.091000e+02 2.281329e+02 1.020272e-07 6.681305e-03 5.011405e-05 7.838687e+03 2.121241e+18 1.642301e+18 2.917014e+17 3.515774e+17 7.228979e+13 1.192322e+16 2.251200e+12
1.095600e+02 2.324937e+02 9.395060e-08 6.270011e-03 4.702908e-05 7.838410e+03 1.953322e+18 1.511057e+18 2.637308e+17 3.361839e+17 7.001047e+13 1.077376e+16 2.355824e+12
1.100200e+02 2.370753e+02 8.657743e-08 5.891806e-03 4.419230e-05 7.838132e+03 1.800027e+18 1.391230e+18 2.385678e+17 3.213664e+17 6.780225e+13 9.742253e+15 2.464684e+12
1.104800e+02 2.418777e+02 7.984627e-08 5.543806e-03 4.158208e-05 7.837854e+03 1.660079e+18 1.281832e+18 2.159361e+17 3.071285e+17 6.566527e+13 8.816607e+15 2.577994e+12
1.109400e+02 2.469001e+02 7.370051e-08 5.223353e-03 3.917847e-05 7.837576e+03 1.532303e+18 1.181949e+18 1.955808e+17 2.934741e+17 6.359909e+13 7.985753e+15 2.695928e+12
