# Altitude_km Temperature_K Density_kg_m3 Pressure_Pa Pressure_Torr Orbital_Velocity_m_s Number_Density_per_m3 n_N2 n_O2 n_O n_He n_Ar n_N
9.484000e+01 1.831741e+02 1.107114e-06 5.821223e-02 4.366288e-04 7.847317e+03 2.301796e+19 1.786106e+19 4.555535e+18 7.911152e+17 1.839658e+14 1.987889e+17 1.311204e+11
9.530000e+01 1.838100e+02 1.018268e-06 5.372652e-02 4.029831e-04 7.847038e+03 2.117075e+19 1.640627e+19 4.167299e+18 8.138170e+17 1.738451e+14 1.814802e+17 1.395482e+11
9.576000e+01 1.844779e+02 9.366486e-07 4.959964e-02 3.720289e-04 7.846760e+03 1.947381e+19 1.507244e+19 3.811651e+18 8.280379e+17 1.644597e+14 1.656077e+17 1.483363e+11
9.622000e+01 1.851810e+02 8.615951e-07 4.579912e-02 3.435226e-04 7.846481e+03 1.791338e+19 1.384914e+19 3.485870e+18 8.328112e+17 1.557482e+14 1.510591e+17 1.575039e+11
9.668000e+01 1.859226e+02 7.925198e-07 4.229604e-02 3.172473e-04 7.846202e+03 1.647723e+19 1.272713e+19 3.187441e+18 8.274918e+17 1.476521e+14 1.377321e+17 1.670730e+11
9.714000e+01 1.867062e+02 7.288901e-07 3.906415e-02 2.930060e-04 7.845923e+03 1.515431e+19 1.169777e+19 2.914117e+18 8.119061e+17 1.401223e+14 1.255288e+17 1.770680e+11
9.760000e+01 1.875354e+02 6.702365e-07 3.608021e-02 2.706246e-04 7.845645e+03 1.393485e+19 1.075326e+19 2.663813e+18 7.864411e+17 1.331098e+14 1.143599e+17 1.875149e+11
9.806000e+01 1.884141e+02 6.161458e-07 3.332379e-02 2.499497e-04 7.845366e+03 1.281025e+19 9.886460e+18 2.434603e+18 7.520943e+17 1.265735e+14 1.041437e+17 1.984441e+11
9.852000e+01 1.893461e+02 5.662633e-07 3.077742e-02 2.308503e-04 7.845087e+03 1.177315e+19 9.090948e+18 2.224758e+18 7.104042e+17 1.204761e+14 9.480310e+16 2.098892e+11
9.898000e+01 1.903356e+02 5.202695e-07 2.842535e-02 2.132083e-04 7.844809e+03 1.081690e+19 8.360694e+18 2.032660e+18 6.633213e+17 1.147823e+14 8.626773e+16 2.218848e+11
9.944000e+01 1.913869e+02 4.778881e-07 2.625404e-02 1.969220e-04 7.844530e+03 9.935747e+18 7.690282e+18 1.856854e+18 6.130017e+17 1.094601e+14 7.847218e+16 2.344688e+11
9.990000e+01 1.925048e+02 4.388687e-07 2.425123e-02 1.818997e-04 7.844252e+03 9.124495e+18 7.074742e+18 1.695977e+18 5.615920e+17 1.044815e+14 7.135529e+16 2.476837e+11
1.003600e+02 1.936942e+02 4.029775e-07 2.240551e-02 1.680556e-04 7.843973e+03 8.378284e+18 6.509468e+18 1.548791e+18 5.109851e+17 9.981849e+13 6.486187e+16 2.615696e+11
1.008200e+02 1.949601e+02 3.700019e-07 2.070653e-02 1.553122e-04 7.843695e+03 7.692689e+18 5.990360e+18 1.414177e+18 4.627089e+17 9.544831e+13 5.894019e+16 2.761758e+11
1.012800e+02 1.963084e+02 3.397298e-07 1.914388e-02 1.435913e-04 7.843416e+03 7.063303e+18 5.513536e+18 1.291068e+18 4.178416e+17 9.134791e+13 5.354242e+16 2.915489e+11
1.017400e+02 1.977448e+02 3.119610e-07 1.770774e-02 1.328193e-04 7.843138e+03 6.485965e+18 5.075488e+18 1.178511e+18 3.770060e+17 8.749686e+13 4.862442e+16 3.077401e+11
1.022000e+02 1.992759e+02 2.865070e-07 1.638881e-02 1.229265e-04 7.842860e+03 5.956750e+18 4.673068e+18 1.075633e+18 3.404577e+17 8.387606e+13 4.414589e+16 3.248011e+11
1.026600e+02 2.009085e+02 2.631819e-07 1.517791e-02 1.138440e-04 7.842581e+03 5.471800e+18 4.303293e+18 9.816195e+17 3.081546e+17 8.046983e+13 4.006915e+16 3.427889e+11
1.031200e+02 2.026501e+02 2.418126e-07 1.406642e-02 1.055071e-04 7.842303e+03 5.027513e+18 3.963477e+18 8.957249e+17 2.798557e+17 7.726035e+13 3.636033e+16 3.617560e+11
1.035800e+02 2.045089e+02 2.222371e-07 1.304626e-02 9.785529e-05 7.842025e+03 4.620519e+18 3.651167e+18 8.172660e+17 2.552012e+17 7.423414e+13 3.298727e+16 3.817621e+11
1.040400e+02 2.064934e+02 2.043020e-07 1.210978e-02 9.083107e-05 7.841746e+03 4.247632e+18 3.364068e+18 7.456279e+17 2.337346e+17 7.137665e+13 2.992495e+16 4.027983e+11
1.045000e+02 2.086130e+02 1.878696e-07 1.125007e-02 8.438271e-05 7.841468e+03 3.905986e+18 3.100127e+18 6.802625e+17 2.150176e+17 6.867546e+13 2.714901e+16 4.248168e+11
1.049600e+02 2.108733e+02 1.728134e-07 1.046060e-02 7.846115e-05 7.841190e+03 3.592954e+18 2.857486e+18 6.206396e+17 1.986746e+17 6.612043e+13 2.463342e+16 4.478598e+11
1.054200e+02 2.132759e+02 1.590208e-07 9.735388e-03 7.302161e-05 7.840912e+03 3.306192e+18 2.634500e+18 5.662793e+17 1.843626e+17 6.370275e+13 2.235485e+16 4.719799e+11
1.058800e+02 2.158229e+02 1.463869e-07 9.068953e-03 6.802293e-05 7.840634e+03 3.043522e+18 2.429618e+18 5.167433e+17 1.717767e+17 6.141466e+13 2.029153e+16 4.972310e+11
1.063400e+02 2.185161e+02 1.348156e-07 8.456313e-03 6.342774e-05 7.840356e+03 2.802944e+18 2.241422e+18 4.716232e+17 1.606543e+17 5.924864e+13 1.842378e+16 5.236663e+11
1.068000e+02 2.213578e+02 1.242157e-07 7.892760e-03 5.920073e-05 7.840077e+03 2.582562e+18 2.068544e+18 4.305347e+17 1.507670e+17 5.719726e+13 1.673324e+16 5.513417e+11
1.072600e+02 2.243501e+02 1.145061e-07 7.374159e-03 5.531089e-05 7.839799e+03 2.380690e+18 1.909774e+18 3.931280e+17 1.419257e+17 5.523738e+13 1.520339e+16 5.803116e+11
1.077200e+02 2.274955e+02 1.056101e-07 6.896615e-03 5.172900e-05 7.839521e+03 2.195734e+18 1.763944e+18 3.590798e+17 1.339693e+17 5.334439e+13 1.381922e+16 6.106295e+11
1.081800e+02 2.307965e+02 9.745907e-08 6.456676e-03 4.842919e-05 7.839243e+03 2.026266e+18 1.630010e+18 3.280961e+17 1.267649e+17 5.151673e+13 1.256674e+16 6.423558e+11
1.086400e+02 2.342553e+02 8.998866e-08 6.051107e-03 4.538716e-05 7.838965e+03 1.870949e+18 1.506987e+18 2.999013e+17 1.202017e+17 4.975272e+13 1.143349e+16 6.755395e+11
1.091000e+02 2.378745e+02 8.314053e-08 5.676992e-03 4.258106e-05 7.838687e+03 1.728570e+18 1.393974e+18 2.742448e+17 1.141891e+17 4.805102e+13 1.040792e+16 7.102395e+11
1.095600e+02 2.416564e+02 7.686164e-08 5.331697e-03 3.999113e-05 7.838410e+03 1.598026e+18 1.290146e+18 2.509011e+17 1.086512e+17 4.641003e+13 9.479815e+15 7.465142e+11
