Altitude [km],He [1/m^3],O [1/m^3],N2 [1/m^3],O2 [1/m^3],Ar [1/m^3],Mass Density [kg/m^3],H [1/m^3],N [1/m^3],Anomalous O [1/m^3],Exospheric Temp [K],Temp at Altitude [K]
140.4,14351008941578.3,3.34491145419255e+16,6.33024141738928e+16,3.49977922268536e+15,156569234912641,4.02764402951522e-09,354561159351.697,23192241867311.8,3.30899310918928e-18,1444.12921005407,683.068825489474
141.2,14137405822344.1,3.23796571546399e+16,6.01379604559552e+16,3.25752987867997e+15,146059742166609,3.83862225282608e-09,334545758718.148,24671904048456.9,6.61595469434919e-18,1444.12921005407,693.064303793872
142,13932222754015.6,3.13644960320935e+16,5.71848874473885e+16,3.03542762860969e+15,136425357314925,3.6619974132521e-09,315916369830.123,26214989129069.2,1.31317445492016e-17,1444.12921005407,702.926091406867
142.8,13734938812550.9,3.03997621423515e+16,5.44253839638106e+16,2.83152862164301e+15,127578554068091,3.49672980976865e-09,298569120970.642,27821370035583.2,2.5877286613888e-17,1444.12921005407,712.656008433876
143.6,13545076116687.7,2.94819274391359e+16,5.18434447354858e+16,2.64410326295959e+15,119441998194145,3.34188478990295e-09,282408346095.384,29490692872174.6,5.06307393374124e-17,1444.12921005407,722.255849769495
144.4,13362195481306.2,2.8607770094413e+16,4.94246573551284e+16,2.47160942584504e+15,111947201819657,3.19662041116636e-09,267345900298.678,31222371707025.7,9.83652042054464e-17,1444.12921005407,731.727385452629
145.2,13185892577180.6,2.77743438051585e+16,4.71560177725157e+16,2.31266943132592e+15,105033374978918,3.06017675082156e-09,253300538168.744,33015584930549.1,1.89772183438161e-16,1444.12921005407,741.072361016528
146,13015794531344.2,2.69789506232891e+16,4.50257700695428e+16,2.16605020727554e+15,98646442821913.9,2.93186661771411e-09,240197348141.367,34869273238753.8,3.63596115585307e-16,1444.12921005407,750.292497833821
146.8,12851556911654.9,2.62191168419608e+16,4.30232669506683e+16,2.03064613915651e+15,92738202359243.8,2.81106746041849e-09,227967236909.28,36782139276580,6.91883545457775e-16,1444.12921005407,759.389493456598
147.6,12692861047057.3,2.54925715415302e+16,4.11388479596096e+16,1.9054642064012e+15,87265597073419.4,2.69721429922164e-09,216546458735.92,38752648957223.5,1.30769056439365e-15,1444.12921005407,768.365021951644
148.4,12539411641736.4,2.47972274570194e+16,3.93637329078359e+16,1.78961106547279e+15,82190091363364.5,2.58979353688758e-09,205876185185.383,40779034454512.9,2.45508202206328e-15,1444.12921005407,777.220734230859
149.2,12390934647063.9,2.41311638779895e+16,3.76899283930524e+16,1.68228179575397e+15,77477129771482.3,2.48833752582451e-09,195902111338.7,42859298846632.5,4.57874581953031e-15,1444.12921005407,785.958258376966
150,12247175360086.9,2.34926113329465e+16,3.61101456117619e+16,1.58275006984411e+15,73095668396377.4,2.39241978809469e-09,186574095038.505,44991222371205.2,8.48353279598445e-15,1444.12921005407,794.579199964553
