# IRI ion data (2011-04-10T00:00:00 UTC, lat=40.793 lon=-77.860)
# Altitude_km ne Ti Te nO+ nO2+ nNO+ nN+
1.530000e+02 1.684057e+10 6.592033e+02 8.102163e+02 1.115438e+08 2.819289e+09 1.389022e+10 2.652363e+06
1.540000e+02 1.725573e+10 6.656382e+02 8.238199e+02 1.275539e+08 2.868408e+09 1.423828e+10 2.998596e+06
1.550000e+02 1.768453e+10 6.719547e+02 8.374230e+02 1.455807e+08 2.919933e+09 1.459540e+10 3.383290e+06
1.560000e+02 1.812762e+10 6.781547e+02 8.510256e+02 1.658542e+08 2.974146e+09 1.496171e+10 3.810128e+06
1.570000e+02 1.858567e+10 6.842405e+02 8.646275e+02 1.886304e+08 3.031283e+09 1.533737e+10 4.283090e+06
1.580000e+02 1.905941e+10 6.902144e+02 8.782286e+02 2.141937e+08 3.091618e+09 1.572253e+10 4.806596e+06
1.590000e+02 1.954965e+10 6.960784e+02 8.918288e+02 2.428526e+08 3.155667e+09 1.611718e+10 5.385226e+06
1.600000e+02 2.005719e+10 7.018345e+02 9.054277e+02 2.749506e+08 3.223850e+09 1.652132e+10 6.024022e+06
1.610000e+02 2.058296e+10 7.074847e+02 9.190251e+02 3.109267e+08 3.296692e+09 1.693491e+10 6.728194e+06
1.620000e+02 2.112792e+10 7.130312e+02 9.326208e+02 3.510924e+08 3.374502e+09 1.735826e+10 7.504231e+06
1.630000e+02 2.169311e+10 7.184756e+02 9.462142e+02 3.959603e+08 3.458087e+09 1.779109e+10 8.358266e+06
1.640000e+02 2.227968e+10 7.238201e+02 9.598051e+02 4.460417e+08 3.548111e+09 1.823334e+10 9.297313e+06
1.650000e+02 2.288883e+10 7.290664e+02 9.733926e+02 5.019035e+08 3.645229e+09 1.868496e+10 1.032890e+07
1.660000e+02 2.352192e+10 7.342163e+02 9.869760e+02 5.641761e+08 3.750182e+09 1.914592e+10 1.146159e+07
1.670000e+02 2.418038e+10 7.392717e+02 1.000555e+03 6.335517e+08 3.863883e+09 1.961602e+10 1.270456e+07
1.680000e+02 2.486582e+10 7.442344e+02 1.014127e+03 7.108090e+08 3.987103e+09 2.009529e+10 1.406778e+07
1.690000e+02 2.557996e+10 7.491061e+02 1.027693e+03 7.968169e+08 4.120691e+09 2.058369e+10 1.556273e+07
1.700000e+02 2.632467e+10 7.538883e+02 1.041250e+03 8.925494e+08 4.265465e+09 2.108128e+10 1.720214e+07
1.710000e+02 2.710210e+10 7.585830e+02 1.054795e+03 9.991025e+08 4.422400e+09 2.158807e+10 1.900041e+07
1.720000e+02 2.791453e+10 7.631915e+02 1.068328e+03 1.117719e+09 4.592231e+09 2.210434e+10 2.097336e+07
1.730000e+02 2.876459e+10 7.677157e+02 1.081845e+03 1.250172e+09 4.754223e+09 2.265159e+10 2.314604e+07
1.740000e+02 2.965511e+10 7.721570e+02 1.095342e+03 1.397893e+09 4.926117e+09 2.321342e+10 2.553673e+07
1.750000e+02 3.058939e+10 7.765169e+02 1.108815e+03 1.562614e+09 5.114006e+09 2.378526e+10 2.816736e+07
1.760000e+02 3.157104e+10 7.807971e+02 1.122260e+03 1.746467e+09 5.318595e+09 2.436780e+10 3.106621e+07
1.770000e+02 3.260414e+10 7.849988e+02 1.135669e+03 1.951905e+09 5.540640e+09 2.496182e+10 3.426622e+07
1.780000e+02 3.369347e+10 7.891238e+02 1.149036e+03 2.181789e+09 5.781034e+09 2.556824e+10 3.780623e+07
